die,module,subflow,instance,ratio,power_plane,plist,status,group,recipe,phase,chunks
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARCCFLLCTAGH1_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parccfllctagh1_x_atpg_ph1_x_normal_main_list,kill,parccfllctagh1,atpg,ph1,55
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARCCFHBI_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parccfhbi_x_atpg_ph1_x_normal_main_list,kill,parccfhbi,atpg,ph1,21
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARCCFLLCDATAH0S0_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parccfllcdatah0s0_x_atpg_ph1_x_normal_main_list,kill,parccfllcdatah0s0,atpg,ph1,7
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARCCFLLCDATAH0S1_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parccfllcdatah0s1_x_atpg_ph1_x_normal_main_list,kill,parccfllcdatah0s1,atpg,ph1,7
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARCCFLLCDATAH1S0_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parccfllcdatah1s0_x_atpg_ph1_x_normal_main_list,kill,parccfllcdatah1s0,atpg,ph1,7
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARCCFLLCDATAH1S1_VMIN_K_BGNCBB_SNO_RING_VMIN_X_X,x,x,scn600_cbb_bgncbb_sno_edt_parccfllcdatah1s1_x_atpg_ph1_x_normal_main_list,kill,parccfllcdatah1s1,atpg,ph1,7
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMLCALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmlcall_x_atpg_stack_x_normal_main_list,kill,parmlcc0,atpg,ph1,8
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMLCALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmlcall_x_atpg_stack_x_normal_main_list,kill,parmlcc0,atpg,ph2,7
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMLCALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmlcall_x_atpg_stack_x_normal_main_list,kill,parmlcc0,atpg,ph3,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMLCALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmlcall_x_atpg_stack_x_normal_main_list,kill,parmlcc0,atpg,ph4,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARMLCALL_VMIN_K_BGNCBB_SNO_IA_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_parmlcall_x_atpg_stack_x_normal_main_list,kill,parmlcc0,atpg,ph5,1
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEESECSE_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbaseesecse_x_atpg_ph1_x_normal_main_list,kill,parbaseesecse,atpg,ph1,69
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEGPIOSOUTHL_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbasegpiosouthl_x_atpg_ph1_x_normal_main_list,kill,parbasegpiosouthl,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEPDN_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbasepdn_x_atpg_ph1_x_normal_main_list,kill,parbasepdn,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEGPIONORTHL_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbasegpionorthl_x_atpg_ph1_x_normal_main_list,kill,parbasegpionorthl,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASESHAFTMISC_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbaseshaftmisc_x_atpg_ph1_x_normal_main_list,kill,parbaseshaftmisc,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEFIVRCHANNELS3_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbasefivrchannels3_x_atpg_ph1_x_normal_main_list,kill,parbasefivrchannels3,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEFIVRCHANNELS2_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbasefivrchannels2_x_atpg_ph1_x_normal_main_list,kill,parbasefivrchannels2,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEFIVRCHANNELS1_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbasefivrchannels1_x_atpg_ph1_x_normal_main_list,kill,parbasefivrchannels1,atpg,ph1,2
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARBASEFIVRCHANNELS0_VMIN_K_BGNCBB_SSN_INF_VMIN_X_X,x,x,scn_cbb_bgncbb_ssn_edt_parbasefivrchannels0_x_atpg_ph1_x_normal_main_list,kill,parbasefivrchannels0,atpg,ph1,3
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARTMULDUALCOREALL_VMIN_K_BGNCBB_SNO_AMX_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_partmuldualcoreall_x_atpg_stack_x_normal_main_list,kill,partmuldualcorec0,atpg,ph1,32
cbb,SCN,SCN_A_CBB_BGN_CBB,STUCK_PARTMULDUALCOREALL_VMIN_K_BGNCBB_SNO_AMX_VMIN_X_X,x,x,scn_cbb_bgncbb_sno_edt_partmuldualcoreall_x_atpg_stack_x_normal_main_list,kill,partmuldualcorec0,atpg,ph2,23
